sentence,word,label
Teacher ne online quiz announce ki,ki,URD
Mera internet ab stable hai,Mera,URD
Mera internet ab stable hai,internet,ENG
Mera internet ab stable hai,ab,URD
Mera internet ab stable hai,stable,ENG
Mera internet ab stable hai,hai,URD
Presentation ka topic finalize hogaya,Presentation,ENG
Presentation ka topic finalize hogaya,ka,URD
Presentation ka topic finalize hogaya,topic,ENG
Presentation ka topic finalize hogaya,finalize,ENG
Presentation ka topic finalize hogaya,hogaya,URD
Please report email kar dena,Please,ENG
Please report email kar dena,report,ENG
Please report email kar dena,email,ENG
Please report email kar dena,kar,URD
Please report email kar dena,dena,URD
Aaj library mein bohot rush tha,Aaj,URD
Aaj library mein bohot rush tha,library,ENG
Aaj library mein bohot rush tha,mein,URD
Aaj library mein bohot rush tha,bohot,URD
Aaj library mein bohot rush tha,rush,ENG
Aaj library mein bohot rush tha,tha,URD
Meeting ka link share kar do,Meeting,ENG
Meeting ka link share kar do,ka,URD
Meeting ka link share kar do,link,ENG
Meeting ka link share kar do,share,ENG
Meeting ka link share kar do,kar,URD
Meeting ka link share kar do,do,URD
Laptop ka charger mil gaya,Laptop,ENG
Laptop ka charger mil gaya,ka,URD
Laptop ka charger mil gaya,charger,ENG
Laptop ka charger mil gaya,mil,URD
Laptop ka charger mil gaya,gaya,URD
Kal training session bohot useful tha,Kal,URD
Kal training session bohot useful tha,training,ENG
Kal training session bohot useful tha,session,ENG
Kal training session bohot useful tha,bohot,URD
Kal training session bohot useful tha,useful,ENG
Kal training session bohot useful tha,tha,URD
Meri profile update hogayi,Meri,URD
Meri profile update hogayi,profile,ENG
Meri profile update hogayi,update,ENG
Meri profile update hogayi,hogayi,URD
Office ka printer work nahi kar raha,Office,ENG
Office ka printer work nahi kar raha,ka,URD
Office ka printer work nahi kar raha,printer,ENG
Office ka printer work nahi kar raha,work,ENG
Office ka printer work nahi kar raha,nahi,URD
Office ka printer work nahi kar raha,kar,URD
Office ka printer work nahi kar raha,raha,URD
Assignment ka format change hua,Assignment,ENG
Assignment ka format change hua,ka,URD
Assignment ka format change hua,format,ENG
Assignment ka format change hua,change,ENG
Assignment ka format change hua,hua,URD
Please document verify kar lo,Please,ENG
Please document verify kar lo,document,ENG
Please document verify kar lo,verify,ENG
Please document verify kar lo,kar,URD
Please document verify kar lo,lo,URD
Aaj meeting bohot late start hui,Aaj,URD
Aaj meeting bohot late start hui,meeting,ENG
Aaj meeting bohot late start hui,bohot,URD
Aaj meeting bohot late start hui,late,ENG
Aaj meeting bohot late start hui,start,ENG
Aaj meeting bohot late start hui,hui,URD
Mujhe Zoom link receive hogaya,Mujhe,URD
Mujhe Zoom link receive hogaya,Zoom,ENG
Mujhe Zoom link receive hogaya,link,ENG
Mujhe Zoom link receive hogaya,receive,ENG
Mujhe Zoom link receive hogaya,hogaya,URD
Result ki notification agayi,Result,ENG
Result ki notification agayi,ki,URD
Result ki notification agayi,notification,ENG
Result ki notification agayi,agayi,URD
Yeh software install karna easy hai,Yeh,URD
Yeh software install karna easy hai,software,ENG
Yeh software install karna easy hai,install,ENG
Yeh software install karna easy hai,karna,URD
Yeh software install karna easy hai,easy,ENG
Yeh software install karna easy hai,hai,URD
Kal office se jaldi nikalna hai,Kal,URD
Kal office se jaldi nikalna hai,office,ENG
Kal office se jaldi nikalna hai,se,URD
Kal office se jaldi nikalna hai,jaldi,URD
Kal office se jaldi nikalna hai,nikalna,URD
Kal office se jaldi nikalna hai,hai,URD
Mera browser crash hogaya achanak,Mera,URD
Mera browser crash hogaya achanak,browser,ENG
Mera browser crash hogaya achanak,crash,ENG
Mera browser crash hogaya achanak,hogaya,URD
Mera browser crash hogaya achanak,achanak,URD
Please meeting reschedule kar do,Please,ENG
Please meeting reschedule kar do,meeting,ENG
Please meeting reschedule kar do,reschedule,ENG
Please meeting reschedule kar do,kar,URD
Please meeting reschedule kar do,do,URD
Aaj class ka timing change hua,Aaj,URD
Aaj class ka timing change hua,class,ENG
Aaj class ka timing change hua,ka,URD
Aaj class ka timing change hua,timing,ENG
Aaj class ka timing change hua,change,ENG
Aaj class ka timing change hua,hua,URD
Mujhe internship ka update mila,Mujhe,URD
Mujhe internship ka update mila,internship,ENG
Mujhe internship ka update mila,ka,URD
Mujhe internship ka update mila,update,ENG
Mujhe internship ka update mila,mila,URD
Teacher ne attendance upload kar di,Teacher,ENG
Teacher ne attendance upload kar di,ne,URD
Teacher ne attendance upload kar di,attendance,ENG
Teacher ne attendance upload kar di,upload,ENG
Teacher ne attendance upload kar di,kar,URD
Teacher ne attendance upload kar di,di,URD
Yaar network issue phir agaya,Yaar,URD
Yaar network issue phir agaya,network,ENG
Yaar network issue phir agaya,issue,ENG
Yaar network issue phir agaya,phir,URD
Yaar network issue phir agaya,agaya,URD
Presentation ka design bohot clean tha,Presentation,ENG
Presentation ka design bohot clean tha,ka,URD
Presentation ka design bohot clean tha,design,ENG
Presentation ka design bohot clean tha,bohot,URD
Presentation ka design bohot clean tha,clean,ENG
Presentation ka design bohot clean tha,tha,URD
Kal assignment print karwana hai,Kal,URD
Kal assignment print karwana hai,assignment,ENG
Kal assignment print karwana hai,print,ENG
Kal assignment print karwana hai,karwana,URD
Kal assignment print karwana hai,hai,URD
Office ki meeting start hogayi,Office,ENG
Office ki meeting start hogayi,ki,URD
Office ki meeting start hogayi,meeting,ENG
Office ki meeting start hogayi,start,ENG
Office ki meeting start hogayi,hogayi,URD
Please mobile silent kar lo,Please,ENG
Please mobile silent kar lo,mobile,ENG
Please mobile silent kar lo,silent,ENG
Please mobile silent kar lo,kar,URD
Please mobile silent kar lo,lo,URD
Aaj coding practice bohot productive thi,Aaj,URD
Aaj coding practice bohot productive thi,coding,ENG
Aaj coding practice bohot productive thi,practice,ENG
Aaj coding practice bohot productive thi,bohot,URD
Aaj coding practice bohot productive thi,productive,ENG
Aaj coding practice bohot productive thi,thi,URD
Meri profile complete hogayi,Meri,URD
Meri profile complete hogayi,profile,ENG
Meri profile complete hogayi,complete,ENG
Meri profile complete hogayi,hogayi,URD
Kal workshop ka certificate milega,Kal,URD
Kal workshop ka certificate milega,workshop,ENG
Kal workshop ka certificate milega,ka,URD
Kal workshop ka certificate milega,certificate,ENG
Kal workshop ka certificate milega,milega,URD
Zoom meeting ka reminder agaya,Zoom,ENG
Zoom meeting ka reminder agaya,meeting,ENG
Zoom meeting ka reminder agaya,ka,URD
Zoom meeting ka reminder agaya,reminder,ENG
Zoom meeting ka reminder agaya,agaya,URD
Assignment submit karne ka time khatam hua,Assignment,ENG
Assignment submit karne ka time khatam hua,submit,ENG
Assignment submit karne ka time khatam hua,karne,URD
Assignment submit karne ka time khatam hua,ka,URD
Assignment submit karne ka time khatam hua,time,ENG
Assignment submit karne ka time khatam hua,khatam,URD
Assignment submit karne ka time khatam hua,hua,URD
Mujhe laptop repair karwana hai,Mujhe,URD
Mujhe laptop repair karwana hai,laptop,ENG
Mujhe laptop repair karwana hai,repair,ENG
Mujhe laptop repair karwana hai,karwana,URD
Mujhe laptop repair karwana hai,hai,URD
Aaj office mein new manager aya,Aaj,URD
Aaj office mein new manager aya,office,ENG
Aaj office mein new manager aya,mein,URD
Aaj office mein new manager aya,new,ENG
Aaj office mein new manager aya,manager,ENG
Aaj office mein new manager aya,aya,URD
Please folder upload kar dena,Please,ENG
Please folder upload kar dena,folder,ENG
Please folder upload kar dena,upload,ENG
Please folder upload kar dena,kar,URD
Please folder upload kar dena,dena,URD
Kal project demo bohot successful tha,Kal,URD
Kal project demo bohot successful tha,project,ENG
Kal project demo bohot successful tha,demo,ENG
Kal project demo bohot successful tha,bohot,URD
Kal project demo bohot successful tha,successful,ENG
Kal project demo bohot successful tha,tha,URD
Internet connection ab theek chal raha hai,Internet,ENG
Internet connection ab theek chal raha hai,connection,ENG
Internet connection ab theek chal raha hai,ab,URD
Internet connection ab theek chal raha hai,theek,URD
Internet connection ab theek chal raha hai,chal,URD
Internet connection ab theek chal raha hai,raha,URD
Internet connection ab theek chal raha hai,hai,URD
Kal final presentation submit karni hai,Kal,URD
Kal final presentation submit karni hai,final,ENG
Kal final presentation submit karni hai,presentation,ENG
Kal final presentation submit karni hai,submit,ENG
Kal final presentation submit karni hai,karni,URD
Kal final presentation submit karni hai,hai,URD
Mera account login nahi horha,Mera,URD
Mera account login nahi horha,account,ENG
Mera account login nahi horha,login,ENG
Mera account login nahi horha,nahi,URD
Mera account login nahi horha,horha,URD
Please assignment email kar dena,Please,ENG
Please assignment email kar dena,assignment,ENG
Please assignment email kar dena,email,ENG
Please assignment email kar dena,kar,URD
Please assignment email kar dena,dena,URD
Teacher ne project approve kar diya,Teacher,ENG
Teacher ne project approve kar diya,ne,URD
Teacher ne project approve kar diya,project,ENG
Teacher ne project approve kar diya,approve,ENG
Teacher ne project approve kar diya,kar,URD
Teacher ne project approve kar diya,diya,URD
Mujhe internship certificate mil gaya,Mujhe,URD
Mujhe internship certificate mil gaya,internship,ENG
Mujhe internship certificate mil gaya,certificate,ENG
Mujhe internship certificate mil gaya,mil,URD
Mujhe internship certificate mil gaya,gaya,URD
Aaj workshop bohot informative thi,Aaj,URD
Aaj workshop bohot informative thi,workshop,ENG
Aaj workshop bohot informative thi,bohot,URD
Aaj workshop bohot informative thi,informative,ENG
Aaj workshop bohot informative thi,thi,URD
Office ka server down tha,Office,ENG
Office ka server down tha,ka,URD
Office ka server down tha,server,ENG
Office ka server down tha,down,ENG
Office ka server down tha,tha,URD
Zoom class ka recording upload hogaya,Zoom,ENG
Zoom class ka recording upload hogaya,class,ENG
Zoom class ka recording upload hogaya,ka,URD
Zoom class ka recording upload hogaya,recording,ENG
Zoom class ka recording upload hogaya,upload,ENG
Zoom class ka recording upload hogaya,hogaya,URD
